PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
2923733;Church/Synagogue;PLAZA PRESBY WEEKDAY SCHOOL;Charlotte;NC;;;;;;,,
2925640;Montessori;GREENE TOWNE MONTE SCHOOL;Philadelphia;PA;;;;;;,,
2931821;Montessori;SOLON MONT CREATIVE PLAYROOMS;Solon;OH;;;;;;,,
2934550;Church/Synagogue;STAR KING PARENT CHLD WORKSHOP;Santa Barbara;CA;;;;;;,,
2939524;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Smyrna;GA;;;;;;,,
2940054;Independent Center;STEPPING STONES DAY CARE CTR;Lawrence;KS;;;;;;,,
2940171;Church/Synagogue;CENTRAL CHRISTIAN CCC;Lexington;KY;;;;;;,,
2940987;Independent Center;BROOKLINE INFANT & TODDLER CTR;Auburndale;MA;;;;;;,,
2952837;Other Chains;GIRL'S INCORPORATED DAY CARE;Nashua;NH;;;;;;,,
2953805;Independent Center;BANNER PRE-SCHOOL;Winnetka;IL;;;;;;,,
2954380;YMCA/YWCA;MANCHESTER YMCA BEF/AFT CDC;Manchester;NH;;;;;;,,
2957710;Independent Center;JCC CHILD DEVELOPMENT CTR;Omaha;NE;;;;;;,,
2961759;Church/Synagogue;ALAMO HEIGHTS UMC WEEKDAY SCH;San Antonio;TX;;;;;;,,
2970396;Church/Synagogue;MORNING STAR PRE DAY CARE CTR;Omaha;NE;;;;;;,,
2972150;Independent Center;CATAWBA RIDGE CHILD DEV CENTER;Hickory;NC;;;;;;,,
2974342;Church/Synagogue;ST ANTHONY OF PADUA DC;Greenville;SC;;;;;;,,
2977643;Independent Center;RIVER FOREST CMTY DAY CARE CTR;River Forest;IL;;;;;;,,
2978661;Independent Center;E PROVIDENCE BOYS & GIRLS CLUB;E Providence;RI;;;;;;,,
2982129;Independent Center;SPECIAL CARE;Oklahoma City;OK;;;;;;,,
2983769;Church/Synagogue;CALVARY CHILDREN'S CENTER;Naperville;IL;;;;;;,,
2985248;Independent Center;FOR CHILDREN ONLY DAY SCHOOL;Pearland;TX;;;;;;,,
2990774;College/University Based;CSUDH CHILDREN'S CENTER;Carson;CA;;;;;;,,
2995774;College/University Based;MIDLAND COLLEGE CHILD DEV CTR;Midland;TX;;;;;;,,
3018109;Church/Synagogue;ST PAUL LUTHERAN CHILD CARE;Saint Joseph;MO;;;;;;,,
3026560;YMCA/YWCA;YWCA KEY PROGRAM;Lewiston;ME;;;;;;,,
3031292;Church/Synagogue;HOLY SPIRIT CHILD CARE;Louisville;KY;;;;;;,,
